ID,Title,Link,City and Country,Location,Segment,Image Src,Latitude,Longitude
1,"‘s-Heerenberg, NL",http://en.the-wall-net.org/s-heerenberg/,"‘s-Heerenberg, NL",Location: business park de Immenhorst,2 segments,http://en.the-wall-net.org/wp-content/uploads/2015/07/EU085.jpg,51.8779448,6.2548363
2,"Aachen, NW",http://en.the-wall-net.org/aachen-nw/,"Aachen, NW",Location: Johanniter-Unfall-Hilfe2 segments,,http://en.the-wall-net.org/wp-content/uploads/2021/08/D203.jpg,50.776351,6.083862
3,"Ahlen, NW",http://en.the-wall-net.org/ahlen-nw/,"Ahlen, NW",Location: Platz der Städtepartnerschaft,1 segment,http://en.the-wall-net.org/wp-content/uploads/2017/07/D134.jpg,51.7627633,7.8909086
4,"Ahrweiler, RP",http://en.the-wall-net.org/ahrweiler/,"Ahrweiler, RP",Location: in front of the railway station,1 segment from the Hinterlandmauer,http://en.the-wall-net.org/wp-content/uploads/2017/07/D164B.jpg,50.4365274,7.0050227
5,"Albershausen, BW",http://en.the-wall-net.org/albershausen-bw/,"Albershausen, BW","Location: private property, NEW Wets Berlin Depot",18 segments,http://en.the-wall-net.org/wp-content/uploads/2021/11/D206B.jpg,48.6919721,9.5658873
6,"Albinea, I",http://en.the-wall-net.org/albinea-i/,"Albinea, I",Location: Renzo Pezzani elementary school,1 segment from Kreuzberg’s Adalbertstraße,http://en.the-wall-net.org/wp-content/uploads/2014/10/EU022.jpg,44.6201821,10.6019259
7,"Alsfeld, HE",http://en.the-wall-net.org/alsfeld/,"Alsfeld, HE",Location: close to theStadtschule,"1 segmentIn summer/autumn 1989, before the Wall came down, GDR citizens were allowed to travel into Czechoslovakia without having a visa. Thousands of them seized the opportunity and fled into theGerman Embassy in Prague. More and more arrived. Up to 4,000 people had to wait for weeks on the Embassy’s ground until September 30.",http://en.the-wall-net.org/wp-content/uploads/2015/10/D111_0.jpg,50.7523545,9.268355
8,"Amberg, BY",http://en.the-wall-net.org/amberg-by/,"Amberg, BY",Location: Leopold Barracks,2 segments,http://en.the-wall-net.org/wp-content/uploads/2017/12/D132RELOC.jpg,49.4454211,11.858728
9,"Amherst, MA",http://en.the-wall-net.org/amherst-ma/,"Amherst, MA",Location: Campus of the University of Massachusetts1 segment,"The Berlin Wall segment, which was set up on theUMass campus in Amherstin spring 2023, was donated by the Hanson family. The graffito on the wall was created byThierry Noirand is called:The Power Of Creativity Over Concrete.",http://en.the-wall-net.org/wp-content/uploads/2024/01/US126.jpg,42.3731948,-72.5198761
10,"Amsterdam, NL",http://en.the-wall-net.org/amsterdam-nl/,"Amsterdam, NL","Location: Melkweg, Event Location (temporarily)",1 segment,http://en.the-wall-net.org/wp-content/uploads/2015/02/EU074_TEMPORARY1.jpg,52.3730796,4.8924534
